County,State,2010Census,2017PopEstimate
Doniphan County,Kansas,7945,7727
Donley County,Texas,3677,3311
Dooly County,Georgia,14918,13737
Door County,Wisconsin,27785,27483
Dorchester County,Maryland,32618,32162
Dorchester County,South Carolina,136555,156456
Dougherty County,Georgia,94565,89502
Douglas County,Colorado,285465,335299
Douglas County,Georgia,132403,143882
Douglas County,Illinois,19980,19748
Douglas County,Kansas,110826,120793
Douglas County,Minnesota,36009,37575
Douglas County,Missouri,13684,13300
Douglas County,Nebraska,517110,561620
Douglas County,Nevada,46997,48309
Douglas County,Oregon,107667,109405
Douglas County,South Dakota,3002,2931
Douglas County,Washington,38431,41945
Douglas County,Wisconsin,44159,43284
Drew County,Arkansas,18509,18547
Dubois County,Indiana,41889,42558
Dubuque County,Iowa,93653,97041
Duchesne County,Utah,18607,20026
Dukes County,Massachusetts,16535,17325
Dundy County,Nebraska,2008,1801
Dunklin County,Missouri,31953,30119
Dunn County,North Dakota,3536,4289
Dunn County,Wisconsin,43857,44693
DuPage County,Illinois,916924,930128
Duplin County,North Carolina,58505,59039
Durham County,North Carolina,267587,311640
Dutchess County,New York,297488,295568
Duval County,Florida,864263,937934
Duval County,Texas,11782,11273
Dyer County,Tennessee,38335,37463
Eagle County,Colorado,52197,54772
Early County,Georgia,11008,10296
East Baton Rouge Parish,Louisiana,440171,446268
East Carroll Parish,Louisiana,7759,7126
East Feliciana Parish,Louisiana,20267,19412
Eastland County,Texas,18583,18411
Eaton County,Michigan,107759,109027
Eau Claire County,Wisconsin,98736,103671
Echols County,Georgia,4034,3936
Ector County,Texas,137130,157087
Eddy County,New Mexico,53829,56997
Eddy County,North Dakota,2385,2316
Edgar County,Illinois,18576,17328
Edgecombe County,North Carolina,56552,52747
Edgefield County,South Carolina,26985,26693
Edmonson County,Kentucky,12161,12226
Edmunds County,South Dakota,4071,3919
Edwards County,Illinois,6721,6486
Edwards County,Kansas,3037,2893
Edwards County,Texas,2002,1953
Effingham County,Georgia,52250,59982
Effingham County,Illinois,34242,34132
El Dorado County,California,181058,188987
El Paso County,Colorado,622263,699232
El Paso County,Texas,800647,840410
Elbert County,Colorado,23086,25642
Elbert County,Georgia,20166,19109
Elk County,Kansas,2882,2498
Elk County,Pennsylvania,31946,30197
Elkhart County,Indiana,197559,205032
Elko County,Nevada,48818,52649
Elliott County,Kentucky,7852,7523
Ellis County,Kansas,28452,28689
Ellis County,Oklahoma,4151,3966
Ellis County,Texas,149610,173620
Ellsworth County,Kansas,6497,6330
Elmore County,Alabama,79303,81677
Elmore County,Idaho,27038,26823
Emanuel County,Georgia,22598,22530
Emery County,Utah,10976,10077
Emmet County,Iowa,10302,9432
Emmet County,Michigan,32694,33193
Emmons County,North Dakota,3550,3301
Emporia city,Virginia,5927,5282
Erath County,Texas,37890,41969
Erie County,New York,919040,925528
Erie County,Ohio,77079,74817
Erie County,Pennsylvania,280566,274541
Escambia County,Alabama,38319,37447
Escambia County,Florida,297619,313512
Esmeralda County,Nevada,783,850
Essex County,Massachusetts,743159,785205
Essex County,New Jersey,783969,808285
Essex County,New York,39370,37956
Essex County,Vermont,6306,6230
Essex County,Virginia,11151,11028
Estill County,Kentucky,14672,14277
Etowah County,Alabama,104430,102755
Eureka County,Nevada,1987,1961
Evangeline Parish,Louisiana,33984,33708
Evans County,Georgia,11000,10775
Fairbanks North Star Borough,Alaska,97581,99703
Fairfax city,Virginia,22565,24097
Fairfax County,Virginia,1081726,1148433
Fairfield County,Connecticut,916829,949921
Fairfield County,Ohio,146156,154733
Fairfield County,South Carolina,23956,22607
Fall River County,South Dakota,7094,6687
Fallon County,Montana,2890,3009
Falls Church city,Virginia,12332,14583
Falls County,Texas,17866,17437
Fannin County,Georgia,23682,25322
Fannin County,Texas,33915,34446
Faribault County,Minnesota,14553,13784
Faulk County,South Dakota,2364,2329
Faulkner County,Arkansas,113237,123654
Fauquier County,Virginia,65203,69465
Fayette County,Alabama,17241,16468
Fayette County,Georgia,106567,112549
Fayette County,Illinois,22140,21784
Fayette County,Indiana,24277,23209
Fayette County,Iowa,20880,19796
Fayette County,Kentucky,295803,321959
Fayette County,Ohio,29030,28752
Fayette County,Pennsylvania,136606,131504
Fayette County,Tennessee,38413,40036
Fayette County,Texas,24554,25272
Fayette County,West Virginia,46039,43521
Fentress County,Tennessee,17959,18136
Fergus County,Montana,11586,11291
Ferry County,Washington,7551,7594
Fillmore County,Minnesota,20866,20980
Fillmore County,Nebraska,5890,5582
Finney County,Kansas,36776,37084
Fisher County,Texas,3974,3880
Flagler County,Florida,95696,110510
Flathead County,Montana,90928,100000
Fleming County,Kentucky,14348,14446
Florence County,South Carolina,136885,138566
Florence County,Wisconsin,4423,4371
Floyd County,Georgia,96317,97613
Floyd County,Indiana,74578,77071
Floyd County,Iowa,16303,15744
Floyd County,Kentucky,39451,36271
Floyd County,Texas,6446,5855
Floyd County,Virginia,15279,15755
Fluvanna County,Virginia,25691,26452
Foard County,Texas,1336,1222
Fond du Lac County,Wisconsin,101633,102548
Ford County,Illinois,14081,13280
Ford County,Kansas,33848,34381
Forest County,Pennsylvania,7716,7297
Forest County,Wisconsin,9304,8970
Forrest County,Mississippi,74934,75471
Forsyth County,Georgia,175511,227967
Forsyth County,North Carolina,350670,376320
Fort Bend County,Texas,585375,764828
Foster County,North Dakota,3343,3257
Fountain County,Indiana,17240,16505
Franklin city,Virginia,8582,8176
Franklin County,Alabama,31704,31495
Franklin County,Arkansas,18125,17890
Franklin County,Florida,11549,11727
Franklin County,Georgia,22084,22820
Franklin County,Idaho,12786,13564
Franklin County,Illinois,39561,39041
Franklin County,Indiana,23087,22619
Franklin County,Iowa,10680,10164
Franklin County,Kansas,25992,25733
Franklin County,Kentucky,49285,50485
Franklin County,Maine,30768,29988
Franklin County,Massachusetts,71372,70702
Franklin County,Mississippi,8118,7765
Franklin County,Missouri,101492,103330
Franklin County,Nebraska,3225,2990
Franklin County,New York,51599,51116
Franklin County,North Carolina,60619,66168
Franklin County,Ohio,1163414,1291981
Franklin County,Pennsylvania,149618,154234
Franklin County,Tennessee,41052,41652
Franklin County,Texas,10605,10767
Franklin County,Vermont,47746,49025
Franklin County,Virginia,56159,56445
Franklin County,Washington,78163,92125
Franklin Parish,Louisiana,20767,20260
Frederick County,Maryland,233385,252022
Frederick County,Virginia,78305,86484
Fredericksburg city,Virginia,24286,28360
Freeborn County,Minnesota,31255,30535
Freestone County,Texas,19816,19625
Fremont County,Colorado,46824,47559
Fremont County,Idaho,13242,13094
Fremont County,Iowa,7441,6948
Fremont County,Wyoming,40123,39803
Fresno County,California,930450,989255
Frio County,Texas,17217,19600
Frontier County,Nebraska,2756,2631
Fulton County,Arkansas,12245,12055
Fulton County,Georgia,920581,1041423
Fulton County,Illinois,37069,35110
Fulton County,Indiana,20836,20059
Fulton County,Kentucky,6813,6192
Fulton County,New York,55531,53877
Fulton County,Ohio,42698,42289
Fulton County,Pennsylvania,14845,14590
Furnas County,Nebraska,4959,4780
Gadsden County,Florida,46389,46071
Gage County,Nebraska,22311,21601
Gaines County,Texas,17526,20638
Galax city,Virginia,7042,6625
Gallatin County,Illinois,5589,5080
Gallatin County,Kentucky,8589,8776
Gallatin County,Montana,89513,107810
Gallia County,Ohio,30934,29973
Galveston County,Texas,291309,335036
Garden County,Nebraska,2057,1906
Garfield County,Colorado,56389,59118
Garfield County,Montana,1206,1293
Garfield County,Nebraska,2049,2016
Garfield County,Oklahoma,60580,61581
Garfield County,Utah,5172,5078
Garfield County,Washington,2266,2210
Garland County,Arkansas,96024,98658
Garrard County,Kentucky,16912,17523
Garrett County,Maryland,30097,29233
Garvin County,Oklahoma,27576,27909
Garza County,Texas,6461,6528
Gasconade County,Missouri,15222,14726
Gaston County,North Carolina,206086,220182
Gates County,North Carolina,12197,11544
Geary County,Kansas,34362,33855
Geauga County,Ohio,93389,93918
Gem County,Idaho,16719,17379
Genesee County,Michigan,425790,407385
Genesee County,New York,60079,57956
Geneva County,Alabama,26790,26421
Gentry County,Missouri,6738,6665
George County,Mississippi,22578,24094
Georgetown County,South Carolina,60158,61607
Gibson County,Indiana,33503,33576
Gibson County,Tennessee,49683,49111
Gila County,Arizona,53597,53501
Gilchrist County,Florida,16939,17743
Giles County,Tennessee,29485,29401
Giles County,Virginia,17286,16837
Gillespie County,Texas,24837,26646
Gilliam County,Oregon,1871,1855
Gilmer County,Georgia,28292,30674
Gilmer County,West Virginia,8693,8005
Gilpin County,Colorado,5441,6013
Glacier County,Montana,13399,13640
Glades County,Florida,12884,13754
Gladwin County,Michigan,25692,25234
Glascock County,Georgia,3082,3062
Glasscock County,Texas,1226,1348
Glenn County,California,28122,28094
Gloucester County,New Jersey,288288,292206
Gloucester County,Virginia,36858,37292
Glynn County,Georgia,79626,85282
Gogebic County,Michigan,16427,15342
Golden Valley County,Montana,884,822
Golden Valley County,North Dakota,1680,1789
Goliad County,Texas,7210,7562
Gonzales County,Texas,19807,20893
Goochland County,Virginia,21717,22685
Goodhue County,Minnesota,46183,46304
Gooding County,Idaho,15464,15124
Gordon County,Georgia,55186,57089
Goshen County,Wyoming,13249,13378
Gosper County,Nebraska,2044,2028
Gove County,Kansas,2695,2631
Grady County,Georgia,25011,24819
Grady County,Oklahoma,52431,54943
Grafton County,New Hampshire,89118,89386
Graham County,Arizona,37220,37466
Graham County,Kansas,2597,2495
Graham County,North Carolina,8861,8541
Grainger County,Tennessee,22657,23144
Grand County,Colorado,14843,15321
Grand County,Utah,9225,9674
Grand Forks County,North Dakota,66861,70795
Grand Isle County,Vermont,6970,6998
Grand Traverse County,Michigan,86986,91807
Granite County,Montana,3079,3358
Grant County,Arkansas,17853,18165
Grant County,Indiana,70061,66491
Grant County,Kansas,7829,7526
Grant County,Kentucky,24662,24984
Grant County,Minnesota,6018,5941
Grant County,Nebraska,614,649
Grant County,New Mexico,29514,27687
Grant County,North Dakota,2394,2376
Grant County,Oklahoma,4527,4395
Grant County,Oregon,7445,7190
Grant County,South Dakota,7356,7061
Grant County,Washington,89120,95158
Grant County,West Virginia,11937,11670
Grant County,Wisconsin,51208,51999
Grant Parish,Louisiana,22309,22336
Granville County,North Carolina,59916,59557
Gratiot County,Michigan,42476,41018
Graves County,Kentucky,37121,37121
Gray County,Kansas,6006,5958
Gray County,Texas,22535,22404
Grays Harbor County,Washington,72797,72697
Grayson County,Kentucky,25746,26358
Grayson County,Texas,120877,131140
Grayson County,Virginia,15533,15665
Greeley County,Kansas,1247,1249
Greeley County,Nebraska,2538,2374
Green County,Kentucky,11258,11065
Green County,Wisconsin,36842,36851
Green Lake County,Wisconsin,19051,18760
Greenbrier County,West Virginia,35480,35287
Greene County,Alabama,9045,8330
Greene County,Arkansas,42090,45053
Greene County,Georgia,15994,17281
Greene County,Illinois,13886,13174
Greene County,Indiana,33165,32177
Greene County,Iowa,9336,8981
Greene County,Mississippi,14400,13345
Greene County,Missouri,275174,289805
Greene County,New York,49221,47470
Greene County,North Carolina,21362,21015
Greene County,Ohio,161573,166752
Greene County,Pennsylvania,38686,36770
Greene County,Tennessee,68831,68808
Greene County,Virginia,18403,19612
Greenlee County,Arizona,8437,9455
Greensville County,Virginia,12243,11679
Greenup County,Kentucky,36910,35518
Greenville County,South Carolina,451225,506837
Greenwood County,Kansas,6689,6123
Greenwood County,South Carolina,69661,70355
Greer County,Oklahoma,6239,5843
Gregg County,Texas,121730,123367
Gregory County,South Dakota,4271,4226
Grenada County,Mississippi,21906,21087
Griggs County,North Dakota,2420,2258
Grimes County,Texas,26604,28082
Grundy County,Illinois,50063,50586
Grundy County,Iowa,12453,12333
Grundy County,Missouri,10261,9949
Grundy County,Tennessee,13703,13361
Guadalupe County,New Mexico,4687,4429
Guadalupe County,Texas,131533,159659
Guernsey County,Ohio,40087,39093
Guilford County,North Carolina,488406,526953
Gulf County,Florida,15863,16160
Gunnison County,Colorado,15324,16939
Guthrie County,Iowa,10954,10670
Gwinnett County,Georgia,805321,920260
Haakon County,South Dakota,1937,1943
Habersham County,Georgia,43041,44567
Haines Borough,Alaska,2508,2526
Hale County,Alabama,15760,14812
Hale County,Texas,36273,34134
Halifax County,North Carolina,54691,51310
Halifax County,Virginia,36241,34563
Hall County,Georgia,179684,199335
Hall County,Nebraska,58607,61519
Hall County,Texas,3353,3071
Hamblen County,Tennessee,62544,64277
Hamilton County,Florida,14799,14184
Hamilton County,Illinois,8457,8194
Hamilton County,Indiana,274569,323747
Hamilton County,Iowa,15673,15115
Hamilton County,Kansas,2690,2640
Hamilton County,Nebraska,9124,9207
Hamilton County,New York,4836,4485
Hamilton County,Ohio,802374,813822
Hamilton County,Tennessee,336463,361613
Hamilton County,Texas,8517,8422
Hamlin County,South Dakota,5903,5948
Hampden County,Massachusetts,463490,469818
Hampshire County,Massachusetts,158080,161834
Hampshire County,West Virginia,23964,23471
Hampton city,Virginia,137436,134669
Hampton County,South Carolina,21090,19602
Hancock County,Georgia,9429,8561
Hancock County,Illinois,19104,18020
Hancock County,Indiana,70002,74985
Hancock County,Iowa,11341,10771
Hancock County,Kentucky,8565,8801
Hancock County,Maine,54418,54497
Hancock County,Mississippi,43929,47053
Hancock County,Ohio,74782,75754
Hancock County,Tennessee,6819,6600
Hancock County,West Virginia,30676,29448
Hand County,South Dakota,3431,3277
Hanover County,Virginia,99863,105923
Hansford County,Texas,5613,5447
Hanson County,South Dakota,3331,3423
Haralson County,Georgia,28780,29256
Hardee County,Florida,27731,27411
Hardeman County,Tennessee,27253,25447
Hardeman County,Texas,4139,3994
Hardin County,Illinois,4320,4046
Hardin County,Iowa,17534,17048
Hardin County,Kentucky,105543,108071
Hardin County,Ohio,32058,31364
Hardin County,Tennessee,26026,25846
Hardin County,Texas,54635,57139
Harding County,New Mexico,695,692
Harding County,South Dakota,1255,1242
Hardy County,West Virginia,14025,13717
Harford County,Maryland,244826,252160
Harlan County,Kentucky,29278,26713
Harlan County,Nebraska,3423,3443
Harmon County,Oklahoma,2922,2689
Harnett County,North Carolina,114678,132754
Harney County,Oregon,7422,7289
Harper County,Kansas,6034,5590
Harper County,Oklahoma,3685,3808
Harris County,Georgia,32024,33915
Harris County,Texas,4092459,4652980
Harrison County,Indiana,39364,39898
Harrison County,Iowa,14928,14136
Harrison County,Kentucky,18846,18781
Harrison County,Mississippi,187105,205027
Harrison County,Missouri,8957,8524
Harrison County,Ohio,15864,15216
Harrison County,Texas,65631,66661
Harrison County,West Virginia,69099,67811
Harrisonburg city,Virginia,48914,54215
Hart County,Georgia,25213,25794
Hart County,Kentucky,18199,18757
Hartford County,Connecticut,894014,895388
Hartley County,Texas,6062,5691
Harvey County,Kansas,34684,34544
Haskell County,Kansas,4256,4053
Haskell County,Oklahoma,12769,12763
Haskell County,Texas,5899,5746
Hawaii County,Hawaii,185079,200381
Hawkins County,Tennessee,56833,56459
Hayes County,Nebraska,967,893
Hays County,Texas,157107,214485
Haywood County,North Carolina,59036,61084
Haywood County,Tennessee,18787,17573
Heard County,Georgia,11834,11730
Hemphill County,Texas,3807,4024
Hempstead County,Arkansas,22609,21861
Henderson County,Illinois,7331,6795
Henderson County,Kentucky,46250,45928
Henderson County,North Carolina,106740,115708
Henderson County,Tennessee,27769,27751
Henderson County,Texas,78532,81064
Hendricks County,Indiana,145448,163685
Hendry County,Florida,39140,40347
Hennepin County,Minnesota,1152425,1252024
Henrico County,Virginia,306935,327898
Henry County,Alabama,17302,17147
Henry County,Georgia,203922,225813
Henry County,Illinois,50486,49328
Henry County,Indiana,49462,48476
Henry County,Iowa,20145,19863
Henry County,Kentucky,15416,16006
Henry County,Missouri,22272,21718
Henry County,Ohio,28215,27185
Henry County,Tennessee,32330,32450
Henry County,Virginia,54151,51227
Herkimer County,New York,64519,62240
Hernando County,Florida,172778,186553
Hertford County,North Carolina,24669,23906
Hettinger County,North Dakota,2477,2483
Hickman County,Kentucky,4902,4520
Hickman County,Tennessee,24690,24864
Hickory County,Missouri,9627,9475
Hidalgo County,New Mexico,4894,4305
Hidalgo County,Texas,774769,860661
Highland County,Ohio,43589,42971
Highland County,Virginia,2321,2212
Highlands County,Florida,98786,102883
Hill County,Montana,16096,16463
Hill County,Texas,35089,35852
Hillsborough County,Florida,1229226,1408566
Hillsborough County,New Hampshire,400721,409697
Hillsdale County,Michigan,46688,45879
Hinds County,Mississippi,245285,239497
Hinsdale County,Colorado,843,794
Hitchcock County,Nebraska,2908,2834
Hocking County,Ohio,29380,28474
Hockley County,Texas,22935,23088
Hodgeman County,Kansas,1916,1842
Hoke County,North Carolina,46952,54116
Holmes County,Florida,19927,19558
Holmes County,Mississippi,19198,17739
Holmes County,Ohio,42366,43957
Holt County,Missouri,4912,4413
Holt County,Nebraska,10435,10202
Honolulu County,Hawaii,953207,988650
Hood County,Texas,51182,58273
Hood River County,Oregon,22346,23377
Hooker County,Nebraska,736,674
Hoonah-Angoon Census Area,Alaska,2150,2145
Hopewell city,Virginia,22591,22621
Hopkins County,Kentucky,46920,45547
Hopkins County,Texas,35161,36496
Horry County,South Carolina,269291,333268
Hot Spring County,Arkansas,32923,33574
Hot Springs County,Wyoming,4812,4696
Houghton County,Michigan,36628,36305
Houston County,Alabama,101547,104346
Houston County,Georgia,139900,153479
Houston County,Minnesota,19027,18660
Houston County,Tennessee,8426,8213
Houston County,Texas,23732,23021
Howard County,Arkansas,13789,13478
Howard County,Indiana,82752,82363
Howard County,Iowa,9566,9228
Howard County,Maryland,287085,321113
Howard County,Missouri,10144,10139
Howard County,Nebraska,6274,6437
Howard County,Texas,35012,36040
Howell County,Missouri,40400,40103
Hubbard County,Minnesota,20428,21018
Hudson County,New Jersey,634266,691643
Hudspeth County,Texas,3476,4408
Huerfano County,Colorado,6711,6662
Hughes County,Oklahoma,14003,13302
Hughes County,South Dakota,17022,17666
Humboldt County,California,134623,136754
Humboldt County,Iowa,9815,9564
Humboldt County,Nevada,16528,16826
Humphreys County,Mississippi,9375,8342
Humphreys County,Tennessee,18538,18484
Hunt County,Texas,86129,93872
Hunterdon County,New Jersey,128349,125059
Huntingdon County,Pennsylvania,45913,45491
Huntington County,Indiana,37124,36337
Huron County,Michigan,33118,31280
Huron County,Ohio,59626,58494
Hutchinson County,South Dakota,7343,7358
Hutchinson County,Texas,22150,21375
Hyde County,North Carolina,5810,5363
Hyde County,South Dakota,1420,1318
Iberia Parish,Louisiana,73240,72176
Iberville Parish,Louisiana,33387,33027
Ida County,Iowa,7089,6865
Idaho County,Idaho,16267,16369
Imperial County,California,174528,182830
Independence County,Arkansas,36647,37504
Indian River County,Florida,138028,154383
Indiana County,Pennsylvania,88880,84953
Ingham County,Michigan,280895,290186
Inyo County,California,18546,18026
Ionia County,Michigan,63905,64291
Iosco County,Michigan,25887,25162
Iowa County,Iowa,16355,16103
Iowa County,Wisconsin,23687,23715
Iredell County,North Carolina,159437,175711
Irion County,Texas,1599,1516
Iron County,Michigan,11817,11124
Iron County,Missouri,10630,10226
Iron County,Utah,46163,51001
Iron County,Wisconsin,5916,5671
Iroquois County,Illinois,29718,27876
Irwin County,Georgia,9538,9410
Isabella County,Michigan,70311,71063
Isanti County,Minnesota,37816,39582
Island County,Washington,78506,83159
Isle of Wight County,Virginia,35270,36552
Issaquena County,Mississippi,1406,1339
Itasca County,Minnesota,45058,45137
Itawamba County,Mississippi,23401,23508
Izard County,Arkansas,13696,13686
Jack County,Texas,9044,8832
Jackson County,Alabama,53227,51909
Jackson County,Arkansas,17997,17135
Jackson County,Colorado,1394,1385
Jackson County,Florida,49746,48330
Jackson County,Georgia,60485,67519
Jackson County,Illinois,60218,58284
Jackson County,Indiana,42376,43884
Jackson County,Iowa,19848,19366
Jackson County,Kansas,13462,13318
Jackson County,Kentucky,13494,13431
Jackson County,Michigan,160248,158640
Jackson County,Minnesota,10266,9946
Jackson County,Mississippi,139668,142152
Jackson County,Missouri,674158,698895
Jackson County,North Carolina,40271,42973
Jackson County,Ohio,33225,32449
Jackson County,Oklahoma,26446,25125
Jackson County,Oregon,203206,217479
Jackson County,South Dakota,3031,3289
Jackson County,Tennessee,11638,11677
Jackson County,Texas,14075,14805
Jackson County,West Virginia,29211,28976
Jackson County,Wisconsin,20449,20529
Jackson Parish,Louisiana,16274,15846
James City County,Virginia,67009,75524
Jasper County,Georgia,13900,13964
Jasper County,Illinois,9698,9578
Jasper County,Indiana,33478,33447
Jasper County,Iowa,36842,36966
Jasper County,Mississippi,17062,16582
Jasper County,Missouri,117404,120217
Jasper County,South Carolina,24777,28458
Jasper County,Texas,35710,35561
Jay County,Indiana,21253,20945
Jeff Davis County,Georgia,15068,15025
Jeff Davis County,Texas,2342,2280
Jefferson County,Alabama,658466,659197
Jefferson County,Arkansas,77435,69115
Jefferson County,Colorado,534543,574613
Jefferson County,Florida,14761,14144
Jefferson County,Georgia,16930,15648
Jefferson County,Idaho,26140,28446
Jefferson County,Illinois,38827,38179
Jefferson County,Indiana,32428,32089
Jefferson County,Iowa,16843,18422
Jefferson County,Kansas,19126,18998
Jefferson County,Kentucky,741096,771158
Jefferson County,Mississippi,7726,7262
Jefferson County,Missouri,218733,223810
Jefferson County,Montana,11406,11891
Jefferson County,Nebraska,7547,7178
Jefferson County,New York,116229,114187
Jefferson County,Ohio,69709,66359
Jefferson County,Oklahoma,6472,6183
Jefferson County,Oregon,21720,23758
Jefferson County,Pennsylvania,45200,43804
Jefferson County,Tennessee,51407,53804
Jefferson County,Texas,252273,256299
Jefferson County,Washington,29872,31234
Jefferson County,West Virginia,53498,56338
Jefferson County,Wisconsin,83686,84832
Jefferson Davis County,Mississippi,12487,11314
Jefferson Davis Parish,Louisiana,31594,31477
Jefferson Parish,Louisiana,432552,439036
Jenkins County,Georgia,8340,8767
Jennings County,Indiana,28525,27626
Jerauld County,South Dakota,2071,2028
Jerome County,Idaho,22374,23627
Jersey County,Illinois,22985,21941
Jessamine County,Kentucky,48586,53375
Jewell County,Kansas,3077,2850
Jim Hogg County,Texas,5300,5202
Jim Wells County,Texas,40838,40871
Jo Daviess County,Illinois,22678,21594
Johnson County,Arkansas,25540,26552
Johnson County,Georgia,9980,9788
Johnson County,Illinois,12582,12900
Johnson County,Indiana,139654,153897
Johnson County,Iowa,130882,149210
Johnson County,Kansas,544179,591178
Johnson County,Kentucky,23356,22594
Johnson County,Missouri,52595,53897
Johnson County,Nebraska,5217,5185
Johnson County,Tennessee,18244,17691
Johnson County,Texas,150934,167301
Johnson County,Wyoming,8569,8476
Johnston County,North Carolina,168878,196708
Johnston County,Oklahoma,10957,11060
Jones County,Georgia,28669,28470
Jones County,Iowa,20638,20536
Jones County,Mississippi,67761,67930
Jones County,North Carolina,10153,9597
Jones County,South Dakota,1006,936
Jones County,Texas,20202,19983
Josephine County,Oregon,82713,86352
Juab County,Utah,10246,11250
Judith Basin County,Montana,2072,1961
Juneau City and Borough,Alaska,31275,32094
Juneau County,Wisconsin,26664,26576
Juniata County,Pennsylvania,24636,24514
Kalamazoo County,Michigan,250331,262985
Kalawao County,Hawaii,90,88
Kalkaska County,Michigan,17153,17634
Kanabec County,Minnesota,16239,16024
Kanawha County,West Virginia,193063,183293
Kandiyohi County,Minnesota,42239,42743
Kane County,Illinois,515269,534667
Kane County,Utah,7125,7567
Kankakee County,Illinois,113449,109605
Karnes County,Texas,14824,15187
Kauai County,Hawaii,67091,72159
Kaufman County,Texas,103350,122883
Kay County,Oklahoma,46562,44544
Kearney County,Nebraska,6489,6530
Kearny County,Kansas,3977,3960
Keith County,Nebraska,8368,8072
Kemper County,Mississippi,10456,9883
Kenai Peninsula Borough,Alaska,55400,58617
Kendall County,Illinois,114736,126218
Kendall County,Texas,33410,44026
Kenedy County,Texas,416,417
Kennebec County,Maine,122151,121821
Kenosha County,Wisconsin,166426,168521
Kent County,Delaware,162310,176824
Kent County,Maryland,20197,19384
Kent County,Michigan,602622,648594
Kent County,Rhode Island,166158,163760
Kent County,Texas,808,763
Kenton County,Kentucky,159720,165399
Keokuk County,Iowa,10511,10153
Kern County,California,839631,893119
Kerr County,Texas,49625,51720
Kershaw County,South Carolina,61697,65036
Ketchikan Gateway Borough,Alaska,13477,13856
Kewaunee County,Wisconsin,20574,20445
Keweenaw County,Michigan,2156,2105
Keya Paha County,Nebraska,824,793
Kidder County,North Dakota,2435,2482
Kimball County,Nebraska,3821,3619
Kimble County,Texas,4607,4410
King and Queen County,Virginia,6945,7003
King County,Texas,286,296
King County,Washington,1931249,2188649
King George County,Virginia,23584,26337
King William County,Virginia,15935,16708
Kingfisher County,Oklahoma,15034,15669
Kingman County,Kansas,7858,7360
Kings County,California,152982,150101
Kings County,New York,2504700,2648771
Kingsbury County,South Dakota,5148,4952
Kinney County,Texas,3598,3745
Kiowa County,Colorado,1398,1376
Kiowa County,Kansas,2553,2485
Kiowa County,Oklahoma,9446,8893
Kit Carson County,Colorado,8270,7158
Kitsap County,Washington,251133,266414
Kittitas County,Washington,40915,46205
Kittson County,Minnesota,4552,4250
Klamath County,Oregon,66380,66935
Kleberg County,Texas,32061,31088
Klickitat County,Washington,20318,21811
Knott County,Kentucky,16346,15291
Knox County,Illinois,52919,50638
Knox County,Indiana,38440,37508
Knox County,Kentucky,31883,31227
Knox County,Maine,39736,39790
Knox County,Missouri,4131,3977
Knox County,Nebraska,8701,8472
Knox County,Ohio,60921,61261
Knox County,Tennessee,432226,461860
Knox County,Texas,3719,3710
Kodiak Island Borough,Alaska,13592,13448
Koochiching County,Minnesota,13311,12528
Kootenai County,Idaho,138494,157637
Kosciusko County,Indiana,77358,79206
Kossuth County,Iowa,15543,14999
Kusilvak Census Area,Alaska,7459,8202
La Crosse County,Wisconsin,114638,118274
La Paz County,Arizona,20489,20601
La Plata County,Colorado,51334,55589
La Salle County,Texas,6886,7584
Labette County,Kansas,21607,20145
Lac qui Parle County,Minnesota,7259,6685
Lackawanna County,Pennsylvania,214437,210761
Laclede County,Missouri,35571,35443
Lafayette County,Arkansas,7645,6862
Lafayette County,Florida,8870,8451
Lafayette County,Mississippi,47351,54374
Lafayette County,Missouri,33381,32641
Lafayette County,Wisconsin,16836,16741
Lafayette Parish,Louisiana,221578,242485
Lafourche Parish,Louisiana,96318,98426
LaGrange County,Indiana,37128,39303
Lake and Peninsula Borough,Alaska,1631,1620
Lake County,California,64665,64246
Lake County,Colorado,7310,7778
Lake County,Florida,297052,346017
Lake County,Illinois,703462,703520
Lake County,Indiana,496005,485640
Lake County,Michigan,11539,12013
Lake County,Minnesota,10866,10524
Lake County,Montana,28746,30273
Lake County,Ohio,230041,230117
Lake County,Oregon,7895,7863
Lake County,South Dakota,11200,12809
Lake County,Tennessee,7832,7468
Lake of the Woods County,Minnesota,4045,3744
Lamar County,Alabama,14564,13946
Lamar County,Georgia,18317,18599
Lamar County,Mississippi,55658,61374
Lamar County,Texas,49793,49587
Lamb County,Texas,13977,13210
Lamoille County,Vermont,24475,25337
LaMoure County,North Dakota,4139,4087
Lampasas County,Texas,19677,21027
Lancaster County,Nebraska,285407,314358
Lancaster County,Pennsylvania,519445,542903
Lancaster County,South Carolina,76652,92550
Lancaster County,Virginia,11391,10788
Lander County,Nevada,5775,5693
Lane County,Kansas,1750,1559
Lane County,Oregon,351715,374748
Langlade County,Wisconsin,19977,19160
Lanier County,Georgia,10078,10425
Lapeer County,Michigan,88319,88174
LaPorte County,Indiana,111467,110029
Laramie County,Wyoming,91738,98327
Larimer County,Colorado,299630,343976
Larue County,Kentucky,14193,14205
Las Animas County,Colorado,15507,14238
LaSalle County,Illinois,113924,110067
LaSalle Parish,Louisiana,14890,14933
Lassen County,California,34895,31163
Latah County,Idaho,37244,39333
Latimer County,Oklahoma,11154,10411
Lauderdale County,Alabama,92709,92538
Lauderdale County,Mississippi,80261,76155
Lauderdale County,Tennessee,27815,25274
Laurel County,Kentucky,58849,60174
